user_id,event_name,event_time,device_type,country,session_duration,event_date,event_day,event_step
16795,app_open,2024-04-04,iOS,India,424.0,2024-04-04,Thursday,1
1860,signup,2024-04-20,iOS,USA,20.0,2024-04-20,Saturday,2
6390,signup,2024-06-21,iOS,India,68.0,2024-06-21,Friday,2
12964,checkout,2024-06-05,Web,UK,1049.0,2024-06-05,Wednesday,7
12284,view_product,2024-02-16,Web,UK,1260.0,2024-02-16,Friday,5
7265,app_open,2024-03-28,Web,USA,1311.0,2024-03-28,Thursday,1
17850,purchase,2024-01-16,unknown,USA,1608.0,2024-01-16,Tuesday,8
5426,purchase,2024-06-01,Web,Germany,510.0,2024-06-01,Saturday,8
15423,checkout,2024-02-06,unknown,India,649.0,2024-02-06,Tuesday,7
12363,checkout,2024-04-16,Android,India,473.0,2024-04-16,Tuesday,7
17023,app_open,2024-01-08,Android,India,36.0,2024-01-08,Monday,1
9322,view_product,2024-06-19,iOS,India,1408.0,2024-06-19,Wednesday,5
2685,login,2024-01-13,iOS,Germany,1012.0,2024-01-13,Saturday,3
1769,app_open,2024-01-11,unknown,India,1096.0,2024-01-11,Thursday,1
3433,view_product,2024-04-05,Android,India,1304.0,2024-04-05,Friday,5
6311,view_product,2024-04-03,iOS,unknown,638.0,2024-04-03,Wednesday,5
6051,checkout,2024-01-02,Android,USA,1690.0,2024-01-02,Tuesday,7
7420,login,2024-05-17,Web,USA,1523.0,2024-05-17,Friday,3
18568,signup,2024-02-25,Android,USA,181.0,2024-02-25,Sunday,2
7396,purchase,2024-04-05,iOS,UK,262.0,2024-04-05,Friday,8
9666,add_to_cart,2024-02-17,iOS,UK,807.0,2024-02-17,Saturday,6
19942,view_product,2024-04-30,Android,USA,781.0,2024-04-30,Tuesday,5
19431,app_open,2024-06-11,iOS,Germany,1283.0,2024-06-11,Tuesday,1
3747,signup,2024-03-14,Web,UK,327.0,2024-03-14,Thursday,2
1189,signup,2024-06-28,Android,Germany,80.0,2024-06-28,Friday,2
4005,signup,2024-01-05,unknown,India,1204.0,2024-01-05,Friday,2
2899,view_product,2024-06-26,Android,India,446.0,2024-06-26,Wednesday,5
2267,app_open,2024-04-28,Android,India,140.0,2024-04-28,Sunday,1
18912,add_to_cart,2024-02-06,Web,USA,318.0,2024-02-06,Tuesday,6
12394,login,2024-02-12,iOS,India,928.0,2024-02-12,Monday,3
4556,search,2024-06-06,iOS,India,185.0,2024-06-06,Thursday,4
4890,search,2024-04-21,Android,Germany,1419.0,2024-04-21,Sunday,4
9838,signup,2024-01-24,Web,Germany,700.0,2024-01-24,Wednesday,2
15502,checkout,2024-04-05,Android,USA,1024.0,2024-04-05,Friday,7
11627,search,2024-03-16,Web,India,1134.0,2024-03-16,Saturday,4
9792,checkout,2024-03-29,iOS,India,963.0,2024-03-29,Friday,7
11555,purchase,2024-01-24,iOS,UK,855.0,2024-01-24,Wednesday,8
11253,search,2024-03-03,unknown,UK,875.0,2024-03-03,Sunday,4
9433,view_product,2024-01-13,Web,UK,221.0,2024-01-13,Saturday,5
11233,login,2024-06-23,Web,Germany,914.0,2024-06-23,Sunday,3
12016,search,2024-05-31,Web,Germany,78.0,2024-05-31,Friday,4
3612,checkout,2024-02-12,Android,unknown,510.0,2024-02-12,Monday,7
16787,add_to_cart,2024-05-03,Web,USA,909.0,2024-05-03,Friday,6
18159,add_to_cart,2024-04-13,Android,unknown,1608.0,2024-04-13,Saturday,6
13206,login,2024-06-06,Android,UK,1420.0,2024-06-06,Thursday,3
9226,search,2024-03-29,Android,India,208.0,2024-03-29,Friday,4
15541,add_to_cart,2024-06-01,Web,USA,637.0,2024-06-01,Saturday,6
4152,signup,2024-06-25,Web,USA,1434.0,2024-06-25,Tuesday,2
2585,purchase,2024-05-21,Android,India,785.0,2024-05-21,Tuesday,8
4943,signup,2024-02-10,Android,India,143.0,2024-02-10,Saturday,2
2021,add_to_cart,2024-05-08,iOS,UK,984.0,2024-05-08,Wednesday,6
12653,purchase,2024-02-29,iOS,USA,1118.0,2024-02-29,Thursday,8
11805,login,2024-03-16,iOS,UK,747.0,2024-03-16,Saturday,3
14417,checkout,2024-01-22,iOS,unknown,12.0,2024-01-22,Monday,7
8989,purchase,2024-03-01,iOS,USA,1064.0,2024-03-01,Friday,8
10692,purchase,2024-04-06,Web,unknown,431.0,2024-04-06,Saturday,8
13990,login,2024-03-15,iOS,USA,1354.0,2024-03-15,Friday,3
7873,purchase,2024-05-29,Web,Germany,1543.0,2024-05-29,Wednesday,8
6675,login,2024-03-09,Android,unknown,1249.0,2024-03-09,Saturday,3
1161,login,2024-01-04,Android,USA,1083.0,2024-01-04,Thursday,3
5297,app_open,2024-02-28,Android,USA,1561.0,2024-02-28,Wednesday,1
1995,signup,2024-02-13,Android,USA,1322.0,2024-02-13,Tuesday,2
12534,search,2024-05-24,unknown,USA,391.0,2024-05-24,Friday,4
8629,app_open,2024-01-07,iOS,UK,1565.0,2024-01-07,Sunday,1
2016,login,2024-03-21,Web,USA,1285.0,2024-03-21,Thursday,3
9529,search,2024-06-03,Web,UK,1422.0,2024-06-03,Monday,4
18262,signup,2024-02-28,iOS,UK,1284.0,2024-02-28,Wednesday,2
10268,login,2024-03-25,Android,USA,847.0,2024-03-25,Monday,3
13185,view_product,2024-01-19,iOS,Germany,113.0,2024-01-19,Friday,5
7331,login,2024-03-05,iOS,UK,828.0,2024-03-05,Tuesday,3
9571,search,2024-05-26,unknown,UK,1378.0,2024-05-26,Sunday,4
8208,signup,2024-02-12,iOS,India,183.0,2024-02-12,Monday,2
6276,checkout,2024-06-03,unknown,USA,1080.0,2024-06-03,Monday,7
19446,purchase,2024-01-21,iOS,USA,268.0,2024-01-21,Sunday,8
17448,purchase,2024-04-20,Android,India,1618.0,2024-04-20,Saturday,8
17216,login,2024-04-06,iOS,unknown,206.0,2024-04-06,Saturday,3
9006,signup,2024-06-25,Web,UK,529.0,2024-06-25,Tuesday,2
3568,purchase,2024-02-14,iOS,USA,916.0,2024-02-14,Wednesday,8
3027,app_open,2024-01-18,Android,USA,137.0,2024-01-18,Thursday,1
3695,view_product,2024-04-30,Android,Germany,1743.0,2024-04-30,Tuesday,5
16422,add_to_cart,2024-05-24,Android,India,55.0,2024-05-24,Friday,6
6258,add_to_cart,2024-06-11,iOS,India,1654.0,2024-06-11,Tuesday,6
7736,app_open,2024-03-30,Web,unknown,559.0,2024-03-30,Saturday,1
1391,add_to_cart,2024-04-24,iOS,India,1599.0,2024-04-24,Wednesday,6
14986,view_product,2024-06-24,Web,USA,92.0,2024-06-24,Monday,5
13666,checkout,2024-05-21,iOS,USA,941.0,2024-05-21,Tuesday,7
6892,app_open,2024-02-16,iOS,unknown,117.0,2024-02-16,Friday,1
4561,signup,2024-05-06,Android,USA,1128.0,2024-05-06,Monday,2
7184,checkout,2024-05-20,Web,unknown,139.0,2024-05-20,Monday,7
9392,signup,2024-01-31,Android,India,806.0,2024-01-31,Wednesday,2
14067,app_open,2024-01-09,Android,USA,750.0,2024-01-09,Tuesday,1
16265,checkout,2024-06-05,Android,India,908.0,2024-06-05,Wednesday,7
3454,search,2024-04-22,Android,India,1208.0,2024-04-22,Monday,4
12837,app_open,2024-01-16,iOS,unknown,1516.0,2024-01-16,Tuesday,1
15039,login,2024-01-11,Android,unknown,1366.0,2024-01-11,Thursday,3
11965,search,2024-06-22,iOS,India,949.0,2024-06-22,Saturday,4
